,sql,excel,access,python,java,hadoop,tableau,matlab,spark,microsoft,oracl,vba,hive,spss,mysql,pig,stata,sqlserver,r,sas,degree,year_group
145,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,phd,less than 2
146,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,bachelor,less than 2
147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bachelor,less than 2
150,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
151,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,bachelor,less than 2
152,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
154,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
155,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
156,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,bachelor,less than 2
157,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
158,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,master,3-5
159,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
160,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
161,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,master,less than 2
162,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,phd,less than 2
163,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,phd,greater than 5
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
165,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,master,less than 2
166,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
168,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
169,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
171,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
172,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
173,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
175,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
177,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,phd,less than 2
178,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
180,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
181,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
182,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
184,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
186,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
187,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,bachelor,less than 2
188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,greater than 5
189,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
192,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
195,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bachelor,3-5
196,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
197,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
198,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
199,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,bachelor,less than 2
200,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,phd,less than 2
201,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
202,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
204,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
206,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,bachelor,less than 2
207,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,master,less than 2
